ddac,status,n_pts,K_mean,K_lo,K_hi,r_mean,r_lo,r_hi,N0_mean,σ_mean
0.0,ok,11,2.1927698737790635,1.7787077828849502,2.6302614305273395,0.6192406007095459,0.48122344999303557,0.7908700121489457,0.029085615901364603,0.22924963759052602
0.5,ok,11,2.1459664497433835,1.8076289585943774,2.5481126259860853,0.534264445271869,0.44034221016499125,0.6305764083879366,0.02881317519632375,0.1939004551308836
0.75,ok,11,2.228983423300265,1.9898384449327629,2.526011951728729,0.45169406139785884,0.4100967649847734,0.5070228590519187,0.027153765557353795,0.12835202836815832
1.0,ok,12,2.385420271649768,1.9778795085898064,2.8992378330708894,0.2941631227955667,0.2578369499655759,0.3347260455832291,0.024595971259363917,0.2097459820137123
1.5,ok,12,2.3624233722047396,1.1971617636653613,4.628449553473787,0.21539789404982745,0.16922921065139804,0.27353666633127355,0.015565890084557096,0.593280728011009
2.0,ok,12,2.3959716986693858,0.9910836434807316,4.802917872003749,0.17596352921141686,0.13226212544287985,0.22741642882375887,0.014003214681654552,0.6663970053417175
3.0,ok,12,0.022470361299367633,0.019212946526444254,0.02669916973011054,0.5478943007061757,0.08938333580950834,1.9999641102406593,0.029949325969664275,0.23783063926756184
