ddac,status,n_pts,K_mean,K_lo,K_hi,r_mean,r_lo,r_hi,N0_mean,σ_mean
0.0,ok,12,4.12246476179268,3.28504676118191,4.977898345254306,0.9329354239027119,0.6443842718128718,1.212668480631081,0.033947001752915436,0.3217800912304432
0.05,ok,12,3.6857664035611117,2.7600707533106226,4.7518351061609225,0.4310328873812715,0.3344037034680168,0.5876634444093359,0.03675146311342361,0.31640750396159545
0.07,ok,12,3.505343326928302,2.321294349579817,4.8018810705376636,0.4229547655592763,0.31653350482874254,0.5755441905131746,0.035269529361203485,0.3430139539297328
0.25,ok,12,3.337752607098773,2.290381676469897,4.5289796552260775,0.3934882983274256,0.29101735765495196,0.549456560935287,0.03364097529289358,0.3567432815655287
0.8,ok,12,2.663546929496608,2.0616747701767113,3.4201132635802187,0.2812274869198081,0.23785832642902038,0.3436888613396015,0.027978817548969616,0.24628081052317305
1.0,ok,12,2.2292656616045328,0.9832792302810034,4.140864467456921,0.198176843319834,0.14480887483202912,0.27150568743363185,0.0166128405522111,0.6842857368248825
1.5,ok,12,0.029554187770984685,0.028086233685494396,0.031195808182417448,0.898722555329948,0.11378770404440076,2.8024129962988567,0.031258999314687584,0.08214352702566821
