query	doi_or_id	year	first_author	title	journal	citation_count	abstract_snippet
coverage probability nonlinear regression growth curve	10.1371/journal.pone.0321680	2025	N. Ghavi Hossein-Zadeh	Application of alternative nonlinear models to predict growth curve in partridges	PLOS One	2	This study aimed to describe the growth pattern in partridges using nonlinear models. Eight nonlinear mathematical functions (Bridges, Janoschek, Richards, Schumacher, Morgan, Lomolino, Sinusoidal, and Weibull) were used. The parameters of nonlinear models were estimated by fitting the models to par
coverage probability nonlinear regression growth curve	10.3390/horticulturae11060707	2025	Jolinda Mércia de Sá	Growth Curve and Nutrient Accumulation in Lettuce for Seed Production Under Organic System	Horticulturae	2	Producing seeds in the organic production system still requires a lot of information regarding the fertilization and nutritional requirements. Thus, the objective of this study was to determine the dry mass and macronutrient accumulation curve in lettuce for seed production, aiming at cultivation in
coverage probability nonlinear regression growth curve	10.1371/journal.pone.0287056	2023	Raimundo Nonato Colares Camargo Júnior	Growth curve mixed nonlinear models in quails	PLOS ONE	2	Our aim was to evaluate the use and application of different nonlinear mixed models, as well as to compare them with approach in nonlinear fixed models, for describing the growth curve of meat-type quails according to gender. A total of 15,002 and 15,408 records of males and females were used, respe
calibration confidence interval growth model bacterial	2502.02674	2025	Michael Stanley	Confidence intervals for functionals in constrained inverse problems via data-adaptive sampling-based calibration		2	We address functional uncertainty quantification for ill-posed inverse problems where it is possible to evaluate a possibly rank-deficient forward model, the observation noise distribution is known, and there are known parameter constraints. We present four constraint-aware confidence intervals exte
calibration confidence interval growth model bacterial	10.1007/978-3-031-13448-7_11	2022	Andrea Campagner	Re-calibrating Machine Learning Models Using Confidence Interval Bounds		2	
calibration confidence interval growth model bacterial	10.1016/j.chemolab.2020.104218	2021	Jian Zhao	Accurate confidence intervals for inter-laboratory calibration and common mean estimation	Chemometrics and Intelligent Laboratory Systems	2	Abstract For a calibration problem that arises in analytical chemistry, the Rocke-Lorenzato model and some generalizations are considered, so as to capture the near constant variability at very low levels of the analyte, and the increasing measurement variation with increased concentration of the an
hierarchical Bayesian growth rate microbial replicate	10.1515/spp-2024-0013	2024	Emmanuel Amoako Koranteng	Hierarchical Bayesian Modelling of Macroeconomic Variables in Ghana	Statistics, Politics and Policy	2	Abstract This study analyzed the impact of macroeconomic variables (manufacturing, real exchange rate, government expenditure, and gross fixed capital formation) on GDP growth in Ghana. Utilizing secondary data from the World Development Indicators of the World Bank (1991–2021), we employed a hierar
profile likelihood growth curve identifiability	10.1016/J.LAA.2014.08.008	2015	Fuxiang Liu	Estimation of parameters in the extended growth curve model via outer product least squares for covariance	Linear Algebra and its Applications	2	
bootstrap calibration nonlinear regression coverage	10.1080/10739149.2024.2407564	2025	Ning Pan	Bootstrap-integrated machine learning techniques for the calibration of near-infrared (NIR) spectra	Instrumentation Science & Technology	2	Abstract Near-infrared (NIR) spectroscopy system is frequently used in food production because of its superior characteristics. Establishing models on spectral data for prediction has always been of interest. However, no satisfactory model has been developed on different data types for accuracy and 
coverage probability nonlinear regression growth curve	10.4025/actascitechnol.v46i1.63428	2024	W. D. S. E. Silva	Accuracy of goodness-of-fit criteria for nonlinear regression: a study via Monte Carlo simulation	Acta Scientiarum. Technology	1	Nonlinear regression models are widespread in the literature, and one of their main applications is in the study of sigmoidal growth curves. There are several models for this purpose, and the most used are the logistic, Gompertz, von Bertalanffy, and Brody models. Each one of them has its own charac
coverage probability nonlinear regression growth curve	10.1007/s11250-023-03882-z	2024	M. Balafrej	Genetic parameters of sheep growth curve traits reared within rangelands under uncertain paternity	Tropical Animal Health and Production	1	
calibration confidence interval growth model bacterial	10.48550/arXiv.2408.08998	2024	Yan Sun	A Confidence Interval for the ℓ2 Expected Calibration Error	ArXiv	1	Recent advances in machine learning have significantly improved prediction accuracy in various applications. However, ensuring the calibration of probabilistic predictions remains a significant challenge. Despite efforts to enhance model calibration, the rigorous statistical evaluation of model cali
calibration confidence interval growth model bacterial	10.1109/CIIS.2017.38	2017	Po-Chiang Tsai	Effective Confidence Interval Estimation Based on Ohba's Software Reliability Growth Model	2017 International Conference on Computing Intelligence and Information System (	1	
PSIS-LOO Pareto-k biological ODE	2506.05674	2025	Samit Ganguly	Observational Insights on DBI K-essence Models Using Machine Learning and Bayesian Analysis		1	We perform a late-time cosmological study; we compare the performance of two Dirac-Born-Infeld (DBI)-type k-essence scalar field extensions of the $\Lambda$CDM model to the standard framework and a wCDM scenario using the Chevallier-Polarski-Linder (CPL) equation of state parametrization. We solve b
hierarchical Bayesian growth rate microbial replicate	10.3130/aije.91.1	2026	Yoshikazu Deguchi	HIERARCHICAL BAYESIAN ESTIMATION OF FIRE GROWTH RATE FOR VARIOUS BUILDING USAGES BASED ON THE FIRE INCIDENTS REPORT	Journal of Environmental Engineering (Transactions of AIJ)	1	
hierarchical Bayesian growth rate microbial replicate	10.1109/ACCESS.2025.3626137	2025	E. Park	Hierarchical Bayesian Intelligence Framework for Uncertainty Quantification and Reliability Assessment of Solid Oxide Fuel Cells	IEEE Access	1	Solid oxide fuel cell (SOFC) stacks face reliability challenges because multiple degradation mechanisms interact with operational and environmental variability. We develop a hierarchical Bayesian framework that couples a monotone area-specific resistance (ASR) growth law with a Weibull time-to-failu
hierarchical Bayesian growth rate microbial replicate	10.1007/s00449-025-03251-0	2025	Maximiliano Ibaceta	The dynamic growth of bacterial cultures: real-time Bayesian estimation of substrate uptake rates in fed-batch fermentations of E. coli	Bioprocess and Biosystems Engineering	1	Accurate real-time estimation of system states and metabolic parameters is essential for effective bioprocess control. However, the dynamics of microbial adaptation—the rate at which a microorganism adapts to changes in the substrate concentration—is often overlooked, leading to early-stage plant-mo
hierarchical Bayesian growth rate microbial replicate	10.1111/2041-210X.14463	2024	Tess O'Brien	Yes, they're all individuals: Hierarchical models for repeat survey data improve estimates of tree growth and size	Methods in Ecology and Evolution	1	Repeat measurement surveys of tree size are used in forests to estimate growth behaviour, biomass and population dynamics. Although size is measured with error and individuals vary in their growth trajectories, current size‐based growth modelling approaches do not usually or fully account for both o
profile likelihood growth curve identifiability	10.1080/13607863.2025.2533506	2025	Dexia Kong	In sync or out of sync? Joint trajectories of depressive symptoms in married couples	Aging & Mental Health	1	
bootstrap calibration nonlinear regression coverage	2508.01418	2025	G. Gibson	Bayesian Conformal Prediction via the Bayesian Bootstrap		1	Reliable uncertainty quantification remains a central challenge in predictive modeling. While Bayesian methods are theoretically appealing, their predictive intervals can exhibit poor frequentist calibration, particularly with small sample sizes or model misspecification. We introduce a practical an
coverage probability nonlinear regression growth curve	10.1145/3767624.3767625	2025	Cheng Zhu	Research on Improving Lettuce Production Efficiency in Container Factory Based on Multivariate Nonlinear Regression and Energy Optimization Algorithm	Proceedings of the 2025 International Conference on Smart Agriculture and Artifi	0	This paper presents an in-depth analysis of lettuce growth in container factories, focusing on optimizing growth conditions, minimizing energy consumption, and maximizing output efficiency. A growth model is established using multiple nonlinear regression to link lettuce’s fresh weight after six wee
coverage probability nonlinear regression growth curve	10.54660/.ijmrge.2026.7.1.233-240	2026	N. Assan	System-Specific Growth Curve Characterization in Austrolope Chickens: A Robust Comparison of Brody, Gompertz, and Logistic Nonlinear Models	International Journal of Multidisciplinary Research and Growth Evaluation	0	Nonlinear growth modeling offers a robust framework for evaluating poultry performance under diverse management systems. This study compared Brody, Gompertz, and Logistic models in describing the body weight–age relationship of Austrolope chickens reared under lucerne supplementation and scavenging 
coverage probability nonlinear regression growth curve	1b2834cc95095558bbfe00150685922491d26a2d	2022	O. Hocaoğlu	Determining the Growth of Naked Oat Genotypes by Using Nonlinear Regression Models and Zadoks Growth Scale		0	
coverage probability nonlinear regression growth curve	10.30679/2219-5335-2026-1-97-16-29	2026	I. I. Strelnikov	Modelling of absolute and relative growth rate of spinach plants based on nonlinear regression	Fruit growing and viticulture of South Russia	0	Abstract. Assessment of plant growth processes is a key source of information for both academician research and agricultural practice. Conventional methods of development dynamics analysis based on time-discrete estimates suffer some disadvantages that can be overcome with statistical modelling inco
hierarchical Bayesian growth rate microbial replicate	10.34123/icdsos.v2025i1.518	2025	R. Aditya	Estimating the Unemployment Rate at Sub-District Level in West Java Province in 2024 Using Hierarchical Bayesian Approach with Cluster Information	Proceedings of The International Conference on Data Science and Official Statist	0	Unemployment is a substantial obstacle to growth in Indonesia, affecting both socialand economic stability. The Unemployment Rate is a crucial metric that quantifies the proportionof the labor force actively pursuing work opportunities. The unemployment rate serves as acritical indicator of labor ma
hierarchical Bayesian growth rate microbial replicate	2509.13174	2025	Meng-jiang Cen	PDE-Based Bayesian Hierarchical Modeling for Event Spread, with Application to COVID-19 Infection		0	We extended the Wikle's Bayesian hierarchical model based on a diffusion-reaction equation [Wikle, 2003] to investigate the COVID-19 spatio-temporal spread events across the USA from Mar 2020 to Feb 2022. Our model incorporated an advection term to account for the intra-state spread trend. We applie
hierarchical Bayesian growth rate microbial replicate	10.1111/wbm.70020	2026	H. Iwamoto	Spatiotemporal Variation in the Weed Distribution Within an Organic Paddy Field: A Time‐Series Hierarchical Bayesian Model With Spatial Autocorrelation	Weed Biology and Management	0	    The timing and direction of farming operations appear to influence the spatial structure and growth of weeds. In this study, we attempted to model the spatial distribution of weed growth based on unmanned aerial vehicle (UAV) imagery. We obtained UAV images of an organic paddy field dominated by
hierarchical Bayesian growth rate microbial replicate	10.3390/jmse14090858	2026	EunJoo Park	Start–Stop Cycle-Induced Failure-Mode Transition in SOFC-Powered Northern Sea Route Shipping: A Hierarchical Bayesian Competing-Risk Analysis	Journal of Marine Science and Engineering	0	Solid oxide fuel cells (SOFCs) are a promising near-zero-emission propulsion source for Northern Sea Route (NSR) vessels, but their yttria-stabilized zirconia (YSZ) electrolyte and Ni-cermet anode are susceptible to thermomechanical degradation under repetitive start–stop thermal cycling. We develop
hierarchical Bayesian growth rate microbial replicate	10.1101/2024.08.27.609830	2024	Tess O'Brien	Yes, they’re all individuals: Hierarchical models from repeat measurement data improve estimates of tree growth and size	bioRxiv	0	Repeat measurement surveys of tree size are used in forests to estimate growth be-haviour, biomass, and population dynamics. Although size is measured with error, and individuals vary in their growth trajectories, current size-based growth modelling approaches do not usually or fully account for bot
profile likelihood growth curve identifiability	2604.19290	2026	R. Flassig	Orthogonal reparametrization of the Nelson-Siegel-Svensson interest rate curve model: conditioning, diagnostics, and identifiability		0	The Nelson-Siegel-Svensson (NSS) interest rate curve model yields a separable nonlinear least-squares problem whose inner linear block is often ill-conditioned because the basis functions become nearly collinear. We analyze this instability via an exact orthogonal reparametrization of the design mat
bootstrap calibration nonlinear regression coverage	10.1109/RI2C67120.2025.11282836	2025	Adoon Pansuwan	Evaluating Multi-K Bootstrap KNN Regression for Clustered Nonlinear Data	2025 Research, Invention, and Innovation Congress: Innovative Electricals and El	0	This study evaluates the predictive accuracy, explanatory power, and interval estimation capabilities of the multi-K bootstrap K-nearest neighbor (KNN) regression method, specifically tailored to handle challenges associated with nonlinear and clustered data. Reliable predictive modeling and robust 
bootstrap calibration nonlinear regression coverage	10.1145/3768184.3768270	2025	Wenchao Liu	Development of a Regression-Based Calibration Model for Multi-Source Population Data Estimation	Proceedings of the 2025 2nd International Conference on Image Processing, Intell	0	Accurate and timely population data are essential for spatial planning and urban governance. However, inconsistencies in coverage and processing standards across data sources remain a major challenge for reliable population estimation. To address this challenge, this study proposes a high-order regr
bootstrap calibration nonlinear regression coverage	10.48550/arXiv.2508.11025	2025	Laura Lützow	Zono-Conformal Prediction: Zonotope-Based Uncertainty Quantification for Regression and Classification Tasks	J. Mach. Learn. Res.	0	Conformal prediction is a popular uncertainty quantification method that augments a base predictor to return sets of predictions with statistically valid coverage guarantees. However, current methods are often computationally expensive and data-intensive, as they require constructing an uncertainty 
bootstrap calibration nonlinear regression coverage	10.1002/for.70126	2026	Betty X Y Chu	Robust Prediction Intervals for Time Series Forecasting: A Bootstrap and Bayesian Approach	Journal of Forecasting	0	    This study proposes a new bootstrap strategy, the standardized skewed Student‐  t  block multiplier bootstrap (skew‐BMM), designed to better capture heteroskedasticity and heavy‐tailed behavior in time series forecasting with machine learning models. We construct prediction intervals by integrat
bootstrap calibration nonlinear regression coverage	10.48550/arXiv.2507.14760	2025	Cassandra Tong Ye	QUTCC: Quantile Uncertainty Training and Conformal Calibration for Imaging Inverse Problems	ArXiv	0	Deep learning models often hallucinate, producing realistic artifacts that are not truly present in the sample. This can have dire consequences for scientific and medical inverse problems, such as MRI and microscopy denoising, where accuracy is more important than perceptual quality. Uncertainty qua
bootstrap calibration nonlinear regression coverage	10.1371/journal.pone.0342432	2026	Ying Song	Unveiling nonlinear effects of Digital Inclusive Finance on urban-rural integration: A threshold panel analysis of China.	PloS one	0	This paper examines the nonlinear effects of Digital Inclusive Finance (DIF) on urban-rural integration (URI) using a provincial panel for mainland China (31 provinces, 2011-2023). We construct a multidimensional URI index and decompose DIF into coverage breadth (D1), usage depth (D2) and digitaliza
